layer size,magnetic permeability,electric permittivity,simulation parameters
1.00E-03,1.00000037,1.000536,2.40E+12
1.00E-03,1.00000043,2,0
1.00E-03,0.546564103,3.9,10
1.00E-03,1,3.8,0
1.00E-03,0.560333333,7.5,0
1.00E-03,1,4.5,0
1.00E-03,1,5.5,0
1.00E-03,0.99999976,8.9,0
1.00E-03,1.000022,9.3,0
1.00E-03,12.4,1000,0
