layer size,magnetic permeability,electric permittivity,simulation parameters
0.0812926439556503,1,3.4,2400000000.0
0.04740134963101835,1,10,0
0.0812926439556503,1,3.4,8
0.04740134963101835,1,10,0
0.0812926439556503,1,3.4,0
0.04740134963101835,1,10,0
0.0812926439556503,1,3.4,0
0.04740134963101835,1,10,0
